Question,Answer
What sort of quest lacks purpose?,quest for perfection or originality
What ends up being reduced in quality by this quest?,form
From what ideals did Classical architecture emerge?,civic ideals
These civic ideas allowed what to come into being?,new building types
What ideals were Greek and Roman Classical architecture not based on?,religious or empirical ones
What owes its development to the Classical orders?,"Architectural ""style"""
When were architectural writings first made?,ancient time
Aside from general advice what did the texts contain?,specific formal prescriptions
What is another term for specific formal prescriptions?,canons
When did Vitruvius write his canons?,1st-century BCE
What is a significant early architectural canonical type?,religious
What organizations were created by Medieval craftsmen?,guilds
What records of the guilds are still in existence?,written contracts
What was the main thing the contracts were had to do with?,ecclesiastical buildings
What is another term for master mason?,Magister lathomorum
What aspects of buildings did science and engineering have an effect on?,proportions and structure
Who still could handle the structural calculations for designing at that time?,generalist
What two fields began to grow apart?,architecture and engineering
What did architects often neglect in their pursuit of aesthetics?,technical aspects of building design
What was a term for an architect who catered to the wealthy?,"""gentleman architect"""
What did 19th century formal architectural training neglect?,context and feasibility
Where did most architects learn their trade?,in the offices of other architects
What started with the Industrial Revolution?,mass production and consumption
What became cheap enough for the middle class to buy?,ornamented products
As products came within their financial reach what concept began to interest the middle class?,Aesthetics
What kind of books did housebuilders use?,pattern books and architectural journals
What type of design did these texts allow the builders to incorporate?,current architectural design
At what century's start did revivalist fall into disfavor? ,20th
What new type of architecture was starting to come into being at this time?,Modern Architecture
When did the Deutscher Werkbund get its start?,1907
What was the point of the Deutscher Werkbund?,to produce better quality machine made objects
"In 1919 what school opened in Weimar, Germany?",the Bauhaus school
What kind of movement was modern architecture in the beginning?,avant-garde movement
Who was the new movement meant to suit the needs of?,the middle and working classes
Whose needs were no longer relevant to the new style?,the rapidly declining aristocratic order
What sort of details did the Modernists' want in their buildings?,functionalist
What details did Modernists' do away with?,historical references and ornament
Who was instrumental in creating Organic architecture?,Frank Lloyd Wright
What are two of Wright's designs?,Robie House and Fallingwater
What was Wright's intention regarding humans and nature?,to promote harmony
What made it possible to design architecture through new means and methods?,the Industrial Revolution
What new type of construction allowed the making of skyscrapers?,steel-frame construction
What style came after Modernism?,International Style
What is an example of International Style?,Twin Towers
Who designed the Twin Towers?,Minoru Yamasaki
What aspect of historical styles did a lot of architects find lacking in modernist styles?,decorative richness
Who were three architects who influenced Brutalism?,"Paul Rudolph, Marcel Breuer, and Eero Saarinen"
What material was used in Brutalist structures?,unfinished concrete
Who disagreed with the aesthetic of Brutalism?,postwar generation
What school was a response to Brutalism?,the school of metaphoric architecture
What are two examples of metaphoric architecture?,biomorphism and zoomorphic architecture
What are biomorphism and zoomorphic architecture based after design wise?,nature
What type of architecture do some consider metaphoric architecture to be a development of?,expressionist architecture
When was the start of the  architectural phenomenology movement?,the late 1950s and 1960s
What was  architectural phenomenology reacting to?,modernism
What were the architectural phenomenologists hoping to expand?,human experience
"Who called postmodern architecture a ""decorated shed""?",Robert Venturi
What term did Venturi use for brutalist and mondernist buildings?,"""ducks"""
About when did architecture begin specializing?,Since the 1980s
Who can no longer design a large structure?,one person
What two architectural movements have come under criticism for their focus on individuality? ,Modernism and Postmodernism
What issue has moved to the forefront in recent years?,Environmental sustainability
What do architecture schools look at more and more nowadays?,the environment
Who was the first to design architecture environmentally?,Frank Lloyd Wright
Who was known for focusing on the environment in the 1960s?,Buckminster Fuller
What organization's rating system promotes sustainability?,The U.S. Green Building Council
What are three new movements that have a focus on sustainability?,"New Urbanism, Metaphoric architecture and New Classical Architecture"
What kinds of buildings and building developments are the new movements not in favor of?,solitary housing estates and suburban sprawl.
What are three things the new movements try to achieve?,"smart growth, architectural tradition and classical design"
What older architectural movements do the newer movements not go along with?,modernist and globally uniform architecture
Which three statistics does the HDI compile?,"life expectancy, education, and income per capita"
Does a high ranking on the HDI indicate shorter or longer life expectancy?,longer
Who developed the HDI?,Mahbub ul Haq
What entity publishes the HDI?,United Nations Development Programme
Does a high ranking on the HDI indicate shorter or longer life expectancy at birth?,longer
In what year did the Human Development Report introduce the IHDI?,2010
What does IHDI stand for?,Inequality-adjusted Human Development Index
"Which measures the potential development, the HDI or the IHDI?",the HDI
In what year did Mahbub ul Haq devise and launch the HDI?,1990
Who was initially opposed to the idea of creating the HDI?,Amartya Sen
Mahbub ul Haq was hoping to shift the focus of development economics to what type of policies?,people-centered policies
Which year was used for estimates in the 2011 report?,1990
What does LE stand for?,Life expectancy at birth
What does MYS stand for?,Mean years of schooling
What does EYS stand for?,Expected years of schooling
What does GNIpc stand for?,Gross national income at purchasing power parity per capita
What entity makes the defining formula for the HDI well-known?,the United Nations Development Programme
On what date was the 2015 Human Development Report released?,"December 14, 2015"
Which year was used for estimates in the 2015 report?,2014
On what date was the 2014 Human Development Report released?,"July 24, 2014"
Which year was used for estimates in the 2014 report?,2013
What does the IHDI specifically take into account?,Inequality
"Does the IHDI measure the ""average"" or the ""potential"" level of human development? ",the average level
Which Caribbean nation is in the top quartile of HDI (but missing IHDI)?,Cuba
"Is the top quartile of HDI considered ""high"" or ""very high"" human development?",very high
What is the main reason that countries were excluded from the 2014 report?,lack of necessary data
Which East Asian dictatorship was excluded from the 2014 report?,North Korea
On what date was the 2013 Human Development Report released?,"March 14, 2013"
Which year was used for estimates in the 2013 report?,2012
"Does the IHDI measure the ""average"" or the ""potential"" level of human development?",the average level
What is the main reason that countries were excluded from the 2011 report?,unavailability of certain crucial data
Which East Asian dictatorship was excluded from the 2011 report?,North Korea
On what date was the 2010 Human Development Report released?,"November 4, 2010"
Which year was used for estimates in the 2010 report?,2010
"In the IHDI, inequality is factored into what three human development dimensions?","income, life expectancy, and education"
What is the main reason that countries were excluded from the 2010 report?,unavailability of certain crucial data
Which Caribbean nation protested its exclusion from the 2010 report?,Cuba
What ranking has Cuba been given since the situation with the missing data was addressed?,High Human Development country
On what date was the 2009 Human Development Report released?,"October 5, 2009"
What period is covered by the 2009 Human Development Report?,period up to 2007
What was another title for the 2009 Human Development Report?,Overcoming barriers: Human mobility and development
What new category was added in the 2009 Human Development Report?,very high human development
"How does the 2009 Human Development Report refer to countries that rank ""very high""?",developed countries
What three reasons were mentioned for countries being excluded?,being a non-UN member or unable or unwilling to provide the necessary data at the time of publication
"What type of update was released on December 18, 2008?",statistical update
"What was the index published on December 18, 2008 lacking?",an accompanying Human Development Report
What period was covered by the statistical update index released in December of 2008?,up to 2006
On what date was the 2007/2008 Human Development Report released?,"November 27, 2007"
What was the focus of the 2007/2008 Human Development Report?,Fighting climate change: Human solidarity in a divided world
What is the most recent year that was included in the 2007/2008 Human Development Report?,2005
The HDI in the 2007/2008 Human Development Report is for what year?,2005
Where was the 2007/2008 Human Development Report launched?,"BrasÃ­lia, Brazil"
Which countries experienced a decrease in HDI?,high income countries
"Under what number does a country need to fall in order to be considered a ""low development"" country?",0.5
On which continent are all 22 of the low development countries located?,Africa
What is Gabon's ranking?,119th
What is South Africa's ranking?,121st
What are the two highest ranking Sub-Saharan countries?,Gabon and South Africa
"What number indicates the minimum score for a country to be considered a ""high development"" country?",0.8
Which South American country was included among the seven promoted countries?,Brazil
What is the largest country that was included among the seven promoted countries?,Russia
"If there is a decrease in a country's ranking, which indicator will be present?",red arrows
"If there is an increase in a country's ranking, which indicator will be present?",green arrows
"If a country's ranking does not change, which indicator will be present?",Blue dash
Which country has been ranked highest the most number of times?,Norway
Which country has received the top rank twice?,Iceland
The HDI has been criticized for focusing exclusively on what?,national performance and ranking
Has the HDI been criticized for being biased towards Western or towards Eastern models of development?,Western
The HDI has been criticized for lack of what type of perspective on development?,global
Critics of the HDI cite its focus on which: egalitarianism or authoritarianism?,egalitarianism
How many economists were cited as pointing out data errors in the HDI?,three
In what year did the UNDP respond to the criticism of its report?,2010
"Which magazine publication carried a statement from the Human Development Report Office in January, 2011?",The Economist
How many countries were included in the 2009 HDI?,182
How many countries were included in the 2010 HDI?,169
What is another term for southern Europe,Mediterranean Europe
What is the name for the stretch of land on which Spain and Portugal are located?,Iberian peninsula
What nations are sometimes included in the scope of southern Europe?,Balkan countries
What area of France is considered a part of Mediterranean Europe?,southern France
What are three characteristics that can be employed to characterize southern Europe?,"political, economic, and cultural attributes"
What are three aspects of the environment of southern Europe that can be used to distinguish the region?,"geography, climate, and flora"
What kind of climate is exemplary of southern Europe?,The Mediterranean climate
Which parts of Turkey are characterized by a Mediterranean climate?,Western and Southern coastal regions
What are two broad categories of similarity among countries which have a Mediterranean climate?,vegetations and landscapes
Where do colder areas occur within southern Europe?,mountain ranges of Spain and Italy
Where are more moist areas found in southern Europe?,north coast of Spain
What term can be used to describe the wet area of North Spain?,Atlantic climate
What is a word that can be used to describe the plant life of southern Europe?,phytochoria
Who coined the term phytochoria?,Armen Takhtajan
What era started when Ancient Greek cities became self-governing entities?,classical antiquity
What was the name of the different governments forming in Ancient Greece?,city-states
Who was responsible for the bringing Greek culture as far as Asia?,Alexander the Great
Where was the headquarters of the Western Roman Empire?,Rome
Where was the headquarters of the Eastern Roman Empire?,Constantinople
Which tribes brought down the Western Roman Empire?,Germanic
What year is considered the transition between the classical period and the Middle Ages?,AD 476
By what year was the Roman Empire split into two sections?,300 AD
What is the Eastern Roman Empire in the Middle Ages called by contemporary scholars?,the Byzantine Empire
Who took over the remains of the Western Roman Empire?,Germanic peoples
What did Germanic people create in place of the Western Roman Empire?,kingdoms and empires of their own
What is the name of the period of armed incursions undertaken in the name of Christianity?,the Crusades
When did Crusaders invade Constantinople?,1204
Which two cities benefited greatly from the activities of Crusaders?,Genoa and Venice
What was the name of another activity like the Crusades occuring on the Iberian peninsula?,The Reconquista
What empire was destroyed by the Sack of Constantinople?,the Byzantine Empire
What era was characterized by turmoil in Europe?,The Late Middle Ages
What disease plagued Europe during the Late Middle Ages?,the Black Death
Which new regime appeared in the Balkan region during the Late Middle Ages?,the Ottoman Empire
When did the Ottoman Empire conquer Constantinople?,1453
When was the start of the period known as the Renaissance?,14th century
In what city did the Renaissance begin?,Florence
What areas of knowledge were subject to much debate during the Renaissance?,science and theology
The encounter with Arabic knowledge put Renaissance thinkers back in touch with the teachings of which ancient civilizations?,Greek and Roman
Which countries initiated the Age of Exploration following the Reconquista?,Portugal and Spain
When did religious conflict end in Europe?,1648
Between which two nations was the Treaty of the Pyrenees signed?,Spain and France
Which scientist developed a means of viewing space?,Galileo Galilei
Who was responsible for creating the first radio?,Guglielmo Marconi
What resulted from Europe's exploration of the New World?,the rise of colonial empires
What institution of mercantilism was established with New World colonies?,the Columbian Exchange
What replaced agriculture as the focus of European economy with the establishment of overseas colonies?,manufacturing
"Aside from the activities of colonies, what other event fostered the transition from agriculture to manufacturing?",the Industrial Revolution of Great Britain
When were there many struggles for independence or overthrowing prevailing governments?,between 1815 and 1871
From whom did Balkan states start retaking their independence?,the Ottoman Empire
In what year was Rome conquered?,1870
What phrase is used to describe the period marked by competition for extant lands?,The Age of Empire
In what year did World War I begin?,1914
When did a victor emerge in World War I?,1918
At what event did the major Allied powers assert their conditions at the end of the war?,the Paris Peace Conference
Which group took control in 1933?,The Nazi regime
Who led the Nazis?,Adolf Hitler
Which country did Hitler align Germany with?,Italy
Who was the leader of Italy when World War II started?,Mussolini
What was the military partnership between countries aligned with the Soviet Union called?,the Warsaw Pact
What does EU stand for?,European Union
What was the European Union tasked with managing?,"market rules, competition, legal standards and environmentalism"
When did communism fall in allies of the Soviet Union?,1989
When did the USSR dissolve?,1991
In what year was Croatia admitted to the European Union?,2013
What is the most common group of languages spoken in Mediterranean Europe?,Romance languages
What are the three main areas of southern Europe where Italian speakers can be found?,"Italy, San Marino, and the Vatican"
Where can people who speak Catalan be found?,eastern Spain
What language is spoken in northwest Spain?,Galician
How many people in Spain and Gibraltar are Spanish speakers?,over 40 million
What is another term for Greek?,Hellenic
"Outside of Greece itself, in what other nation is Greek a major language?",Cyprus
What language is used in Macedonia?,Macedonian
What do people speak in Bulgaria?,Bulgarian
Slovene is a major language in what country?,Slovenia
What is considered a de facto second language in Mediterranean Europe?,English
"Besides English, what other language is spoken in Gibraltar?",Spanish
"Besides English, what other language is spoken in Malta?",Maltese
What language can be found used in Kosovo and Albania?,Albanian
What type of language is Maltese?,Semitic
Where is Basque Country located?,northern Spain and southwestern France
What is the main faith practiced in southern Europe?,Christianity
When did the Romans make Christianity their official religion?,380 AD
What denomination of Christianity is common in the western part of southern Europe?,Roman Catholic
Which denomination of Christianity is more common in the eastern part of Mediterranean Europe?,Greek Orthodox
What term is used by the UNO to divide groups of nations?,regions
What is the reason for the UNO's division into regions?,statistical convenience
What smaller unit makes up the southern Europe region?,sub-regions
What does TDM stand for?,Tourism Decision Metrics
Which group uses TDM as a metric?,European Travel Commission
What is the acronym for British Broadcasting Corporation?,BBC
Under what auspices does the BBC exist?,Royal charter
When did the BBC start creating its own programming?,1932
On what date did the BBC being its regular TV broadcasts?,02-Nov-36
In what country is the BBC headquartered?,United Kingdom
What percentage of viewership across the UK is constituted by the BBC?,30%
"As a result of shows that the BBC itself creates, it is one of the biggest what?",television production companies
On what date was the first TV show seen in the UK?,30-Sep-29
From where was the first TV show in the UK broadcasted?,"Long Acre, London"
How many lines made up the picture on Britain's earliest TV broadcasts?,30
When did Baird cease showing its programs on BBC?,Jun-32
When were both audio and video first broadcasted at the same time?,30-Mar-30
Where was the BBC's first studio located?,"Broadcasting House, London"
What was the medium that brought the BBC's signal to the transmitter?,telephone line
What term characterizes the type of broadcast made by the BBC prior to late 1935?,electromechanical
Where was the BBC's second studio located?,"16 Portland Place, London"
When did the BBC first change studios?,Feb-34
Where did the BBC continue broadcasting from in October of 1936?,Alexandra Palace
What frequency band was used by the BBC starting in 1936?,VHF
How many lines did the Baird transmission contain?,240
How many lines did the Marconi-EMI transmission contain?,405
On what days did the BBC provide regular broadcasts?,Monday to Saturday
For how long did the BBC alternate different broadcasting systems?,six months
What kind of camera was used to broadcast live shows under the Baird system?,Farnsworth image dissector
When was the Baird system officially abandoned?,13-Feb-37
How far from its studio could the BBC's broadcast originally reach?,40 kilometres
In what year were BBC broadcasts seen in the United States?,1938
What company did the U.S. engineers who saw the BBC broadcast work for?,RCA
What did the RCA employees use in order to receive the BBC signal?,a British television set
Where was the BBC's transmitter located in 1930?,Brookmans Park
When did the BBC start broadcasting under the name BBC One?,02-Aug-32
What was the title of the first show seen on the BBC?,Opening of the BBC Television Service
Which members of British royalty were seen on the BBC in May of 1937?,King George VI and Queen Elizabeth
When did the BBC cease broadcasts due to World War II?,Sep-39
What did the British fear could provide guidance to the German air force?,VHF transmissions
What part of the military did many people working for the BBC end up serving in?,the radar programme
What was the final thing shown on the BBC before it was shut down for the war?,Mickey's Gala Premier
When did most people mistakenly remember the last broadcast as having ended?,before the end of the cartoon
How many TVs were made between 1936 and the start of the war in 1939?,"18,999"
Who was the first person to speak on BBC when it was turned back on following World War II?,Jasmine Bligh
On what date did BBC return to the air after World War II?,07-Jun-46
"In the decade following the war, where did a large portion of the BBC move to?",Lime Grove Studios
What character was featured in the cartoon aired the day BBC broadcasting was restored?,Mickey Mouse
What city received BBC signals starting in 1949?,Birmingham
Which facility brought the BBC's transmissions to Birmingham?,Sutton Coldfield transmitting station
What kind of image was broadcasted by the BBC by the mid-'50s?,405-line interlaced image
On what frequency band was the BBC broadcasting in thie 1950s?,VHF
What was the name of the BBC changed to in 1960?,BBC tv
What was the BBC's main competitor?,ITV
"What program debuted on November 23, 1963?",Doctor Who
Where did the BBC broadcast from following World War II?,Alexandra Palace
What was the first station launched after the original BBC?,ITV
What was the third network started in the UK?,BBC2
What prevented BBC2 from broadcasting on its scheduled launch date?,massive power failure
Where was the cause of the power outage?,Battersea Power Station
Who served as MC for the first BBC2 broadcast?,Denis Tuohy
What was the first station to show programs in color?,BBC Two
When did the other two major British stations start color programming?,15-Nov-69
What types of programs were not shown on BBC Two?,soap opera or standard news programming
Who was the first controller of BBC2?,Sir David Attenborough
What kinds of programs did Attenborough favor?,documentaries
When was the first broadcast of Tom and Jerry on BBC One?,1967
When was the final broadcast of Tom and Jerry?,2000
How many episodes of Tom and Jerry were shown in the evenings?,2
On what channel was Tom and Jerry sometimes shown in the mornings?,CBBC
Which group did David Attenborough join while on sabbatical?,BBC Natural History Unit
When did the BBC Natural History Unit come into existence?,the 1950s
What are some shows that Attenborough created with the BBC Natural History Unit?,"Life on Earth, The Private Life of Plants, The Blue Planet, The Life of Mammals, Planet Earth and Frozen Planet"
How many different areas does BBC One accommodate with customized broadcasting?,fifteen
Which parts of the UK have more control over their BBC broadcasts?,"Wales, Scotland and Northern Ireland"
Who hosts shows on BBC broadcasts outside of England?,local announcers
What kind of coverage might take precedence over standard BBC programming?,major local events
What is the name of a political show shown on BBC in Northern Ireland?,Give My Head Peace
What is the name of a Scottish soap opera?,River City
What language does BBC Scotland provide programming for?,Gaelic
What is a well-known Gaelic program?,EÃ²rpa and DÃ¨ a-nis?
What is the name of a show from Northern Ireland broadcast all over the United Kingdom?,Patrick Kielty Almost Live
How much of its programming must the BBC obtain from other content producers?,25%
What is a popular American show that was shown on the BBC?,The Simpsons
What is a television show from Australia that was shown on the BBC?,Neighbours
What kind of service was Ceefax?,teletext
When was Ceefax launched?,1974
What is the modern replacement for Ceefax?,BBCi
When did the BBC say it would start using a satellite to transit its signal?,May-03
What was the name of the satellite from which the BBC's signal was sent?,Astra 2D satellite
"Due to delays, when was the actual date of the BBC's move to satellite broadcasts?",14-Jul
How much money was the move to satellite worth to the station over the following half decade?,Â£85 million
"With the right tools, what area could get free BBC broadcasts from Astra 2D?",Western Europe
What are some entities that have taken issue with the possibility that BBC programming was being viewed for free?,Hollywood studios and sporting organisations
On what service were some shows removed as a result of issues over rights?,Sky Digital
What are two specific broadcasts suspended on Sky Digital?,Scottish Premier League and Scottish Cup football
When was the 50th anniversary of BBC news broadcasts?,05-Jul-04
On what form of media was a retrospective of the BBC's news broadcasts released to commemorate its 50th anniversary?,DVD
In what format were the BBC's first new bulletins shown?,Newsreel
What reality series was awarded a BAFTA in 2005?,Little Angels
Who was the leader of BBC Television in 2006?,Jana Bennett
What did BBC Television get absorbed into?,BBC Vision
What caused the move of BBC Television into the BBC VIsion unit?,the onset of new media outlets and technology
When did the BBC start exploring the use of internet streaming?,2008
When was full coverage of the BBC's standard programming launched in online stream format?,Nov-08
"As of early 2016, what BBC show has been sold outside of the country the most times?",Keeping Up Appearances
How many sales of Keeping Up Appearances have been made to non-British buyers?,nearly 1000
Who announced the status of Keeping Up Appearances as the most exported BBC show?,BBC Worldwide
How often are people required to remit the TV license fee?,annually
How do the BBC's non-domestic channels generate revenue?,advertisements and subscription
When did BBC Vision change back to BBC Television?,2013
Who is the current head of BBC Television?,Danny Cohen
What are the four responsibilities of BBC Television?,"commissioning, producing, scheduling and broadcasting"
When did BBC Japan begin broadcasting?,Dec-04
When did BBC Japan shut down?,Apr-06
What was the genre of BBC Japan?,general entertainment
What's Arnold Schwarzenegger's birth date?,"July 30, 1947"
What's Arnold Schwarzenegger's middle name?,Alois
How many terms did Schwarzenegger serve as California's governor?,two
How old was Schwarzenegger when he started bodybuilding?,15
How many times was Schwarzenegger awarded the Mr. Olympia title?,seven
For which film from 1982 did Schwarzenegger first gain fame?,Conan the Barbarian
How old was Schwarzenegger when he won Mr. Universe?,20
What nickname did Schwarzenegger's co-stars call him by during his acting career?,Arnie
What year marked the end of Schwarzenegger's second term in the governor's office?,2011
What political party did Schwarzenegger belong to?,Republican
What governor did Schwarzenegger replace?,Gray Davis
What date marked the start of Schwarzenegger's second gubernatorial term?,"January 5, 2007"
What country was Schwarzenegger born in?,Austria
What was Schwarzenegger's mother's maiden name?,Jadrny
What was Schwarzenegger's father's first name?,Gustav
What was Schwarzenegger's dad's job in their town?,chief of police
What was Schwarzenegger's older brother's name?,Meinhard
What appliance did Schwarzenegger's family buy that he called a highlight of his youth?,refrigerator
What sport Schwarzenegger played led to a trip to the gym that sparked his love of weightlifting?,soccer
Who starred in the first movie Schwarzenegger remembers seeing?,John Wayne
What job did Schwarzenegger's father want him to pursue?,police officer
Which of Schwarzenegger's bodybuilding idols died in 2000?,Steve Reeves
What year did Schwarzenegger's brother die?,1971
What is Meinhard's son named?,Patrick
What caused Schwarzenegger's father Gustav's death?,stroke
Who was the first woman Schwarzenegger was serious about?,Barbara Baker
What magazine revealed the details of Schwarzenegger's childhood punishments in 2004?,Fortune
"Which bodybuilding title did Schwarzenegger call his ""ticket to America""?",Mr. Universe
Which competition did Schwarzenegger go AWOL to participate in?,Junior Mr. Europe
When did Schwarzenegger take an airplane for the first time ever?,1966
In what city was the 1966 NABBA Mr. Universe competition held?,London
Which of the bodybuilders Schwarzenegger idolized as a kid did he meet in 1966?,Reg Park
Which part of his body did Schwarzenegger work to develop with Coach Bennett?,legs
How many total times has Schwarzenegger won the Mr. Universe title?,four
Who owned the gym Schwarzenegger worked in during the late sixties?,Rolf Putziger
How old was Schwarzenegger when he started hoping he'd move to America?,10
How old was Schwarzenegger when he moved to the U.S.?,21
In what state did Schwarzenegger claim his first Mr. Olympia title?,New York
What's the name of the professional wrestler who designed the first logo for Gold's Gym?,Ric Drasin
What magazine called Schwarzenegger America's most famous immigrant?,LA Weekly
What's the title of Schwarzenegger's 1977 book?,Arnold: The Education of a Bodybuilder
At what college did Schwarzenegger study but not receive his degree?,Santa Monica College
What does TM stand for?,Transcendental Meditation
What psychological problem did Schwarzenegger say he struggled with?,anxiety
What bodybuilding competition is named after Schwarzenegger?,the Arnold Classic
How frequently did Schwarzenegger write a column for Muscle & Fitness and Flex?,monthly
How much did the magazines Schwarzenegger wrote for pledge to contribute to physical fitness initiatives each year when he was Governor?,"$250,000"
What position did Schwarzenegger briefly hold at Muscle & Fitness and Flex?,executive editor
What bodybuilding title did Schwarzenegger win in 1965?,Junior Mr. Europe
How many times did Schwarzenegger win the Mr. Olympia title?,seven
"In 2011, how much time each day did Schwarzenegger say he lifted weights? ",half an hour
In what competition did Schwarzenegger have to lift over 500 pounds while balancing on foot rests?,Munich stone-lifting contest
What year did Schwarzenegger first try to win the Mr. Olympia title?,1969
Who won Mr. Olympia 1969?,Sergio Oliva
At which year's Mr. Olympia contest did Schwarzenegger become the youngest person to win the title?,1970
How old was Schwarzenegger when he won Mr. Olympia in 1970?,23
Who did Schwarzenegger beat to win his sixth Mr. Olympia in a row?,Franco Columbu
What year did Schwarzenegger quit competing as a professional bodybuilder?,1975
What was Schwarzenegger's last competition before retirement?,Mr. Olympia
What was the name of the bodybuilding film Schwarzenegger starred in?,Pumping Iron
How much time did Schwarzenegger have to train for the 1975 Mr. Olympia competition?,three months
Who co-starred with Schwarzenegger in the film Stay Hungry?,Jeff Bridges
For what Hollywood role was Schwarzenegger training in 1980?,Conan
How many weeks did Schwarzenegger spend getting ready for the 1980 Mr. Olympia contest?,seven
How many times did Schwarzenegger win Mr. Olympia before retiring for good?,seven
"In what year did Schwarzenegger write that he used anabolic steroid because they were ""helpful""?",1977
What German doctor was sued by Schwarzenegger?,Dr. Willi Heepe
How much did the court award Schwarzenegger in the case against Heepe?,"$10,000"
Which U.S. tabloid settled out of court with Schwarzenegger in 1999?,The Globe
What was Schwarzenegger's first film role?,Hercules
What last name was Schwarzenegger going by when he starred in Hercules in New York?  ,Strong
"In 1973, who directed Schwarzenegger as a hit-man in The Long Goodbye?",Robert Altman
Schwarzenegger's role in Stay Hungry led to a Golden Globe win in what category?,New Male Star of the Year
What adjective did Schwarzenegger say agents used to describe his body?,weird
When did Schwarzenegger purchase the rights to the film Pumping Iron?,1991
In what year did Schwarzenegger play Jayne Mansfield's husband in a film?,1980
What role did Schwarzenegger miss out on because of his height?,The Incredible Hulk
"What 1979 comedy film featured Schwarzenegger, Kirk Douglas, and Ann-Margret?",The Villain
What was the title of the sequel to Conan the Barbarian?,Conan the Destroyer
What year was the first Terminator movie released?,1984
Who directed The Terminator?,James Cameron
What other action star was an international hit in the 1980s?,Sylvester Stallone
What year was Schwarzenegger's film The Running Man released?,1987
What's the title of the comedy movie Schwarzenegger starred in with Danny DeVito in 1988?,Twins
"How much did Schwarzenegger make from the film Total Recall, on top of 15% of gross?",$10 million
What 1992 TV movie did Schwarzenegger direct?,Christmas in Connecticut
An episode of what well-known TV series was Schwarzenegger's directorial debut?,Tales from the Crypt
What Schwarzenegger film was 1991's highest-grossing movie?,Terminator 2: Judgment Day
"What organization named Schwarzenegger the ""International Star of the Decade"" in 1993?",the National Association of Theatre Owners
What 1994 film brought Schwarzenegger back together with director James Cameron?,True Lies
What was Schwarzenegger's second film with co-star Danny DeVito?,Junior
How much did the third Terminator movie make domestically alone?,$150 million
How many feet tall was the proposed statue of Schwarzenegger?,82
What was the name of the cultural association that wanted to build a Terminator statue?,Forum Stadtpark
Which 2005 movie featured Schwarzenegger as himself?,The Kid & I
What's the name of the comic book character modeled on Schwarzenegger?,the Governator
What famous comic book writer did Schwarzenegger work with on the Governator?,Stan Lee
Schwarzenegger said he was reading scripts that included the one for what WWII film based on a true story?,With Wings as Eagles
Who wrote the screenplay for With Wings as Eagles?,Randall Wallace
On what date in 2011 was the hold on Schwarzenegger's movie projects announced?,May-20
2013's The Last Stand marked Schwarzenegger's first starring role in how long?,10 years
What was the first film Schwarzenegger co-starred in with Sylvester Stallone?,Escape Plan
What's the title of the fifth film in the Terminator franchise?,Terminator Genisys
What year did Terminator Genisys debut?,2015
In what year did Schwarzenegger speak at the Republican National Convention?,2004
What was the title of the anti-drug music video Schwarzenegger appeared in under the Reagan administration's sponsorship?,"""Stop the Madness"""
In what presidential election year did Schwarzenegger make a name for himself as a prominent Republican?,1988
Which candidate did Schwarzenegger appear with at a presidential campaign rally?,George H.W. Bush
What nickname did George H.W. Bush give to Schwarzenegger?,Conan the Republican
What year did Schwarzenegger's interview with Talk magazine take place?,1999
Which media source said Schwarzenegger was trying to deal with rumors that he might run for governor of California?,The Hollywood Reporter
The episode of The Tonight Show with Jay Leno where Schwarzenegger announced his candidacy for Governor aired on what date?,"August 6, 2003"
How many debates did Schwarzenegger participate in before the 2003 California recall election?,one
What percentage of the October 2003 vote was in favor of a recall?,55.40%
Who was Schwarzenegger's closest rival in the gubernatorial race of 2003?,Cruz Bustamante
By about what number of votes did Schwarzenegger win the 2003 recall election in California?,1.3 million
What percentage of the vote did Schwarzenegger's opponent Bustamante receive?,31%
Who was the first governor of California who had been born in a foreign country?,John G. Downey
What politician threatened to start working to recall Schwarzenegger right after he was elected?,Willie Brown
"What Saturday Night Live sketch was Schwarzenegger referencing when he called opposing politicians ""girlie men""?",Hans and Franz
In what month of 2005 did Schwarzenegger hold a special election?,November
How many of Schwarzenegger's ballot initiatives were defeated in the special election of 2005?,four
Who did Schwarzenegger choose as Chief of Staff?,Susan Kennedy
"In the 2006 gubernatorial election, who did Schwarzenegger run against?",Phil Angelides
Which city was Gavin Newsom mayor of when he said Schwarzenegger was turning Democrat?,San Francisco
What political office did people speculate Schwarzenegger might try for in 2010?,United States Senate
What author claimed Schwarzenegger is power-obsessed?,Wendy Leigh
What's Schwarzenegger's father-in-law's name?,Sargent Shriver
Schwarzenegger shows up as the President of the United States in what 2007 animated movie?,The Simpsons Movie
What year did Schwarzenegger become a naturalized citizen of the United States?,1983
In what country besides the U.S. is Schwarzenegger a citizen?,Austrian
Who did Schwarzenegger finally endorse in the 2008 Republican primary?,John McCain
Which candidate withdrew from the presidential race in January of 2008?,Rudy Giuliani
On which two major issues did McCain and Schwarzenegger publicly agree?,the environment and economy
"What group awarded Schwarzenegger the title of one of the 11 ""worst governors"" in a 2010 report?",Citizens for Responsibility and Ethics in Washington
What was Schwarzenegger's highest approval rating during his stint as governor?,89%
What was Schwarzenegger's approval rating on the day his time in office ended?,23%
What was the controversy around Schwarzenegger's first gubernatorial campaign nicknamed?,Gropegate
How many women spoke out publicly about misconduct on Schwarzenegger's part?,six
